name,query,script_language,vocal_language,expected_tools,observed_tools,http_status,graph_status,latency_seconds,response_text,error,technical_pass,routing_pass,tool_pass,trace_url,trace_available,expected_nodes,observed_nodes,node_pass,node_reason,expected_domain,observed_domain,expected_plan,observed_plan,plan_pass,plan_reason,answer_quality_enabled,answerrelevancymetric_score,answerrelevancymetric_passed,answerrelevancymetric_reason,source_check_required,source_attribution_pass,source_attribution_reason,disclaimer_required,testing_disclaimer_present,testing_disclaimer_at_bottom,two_hr_disclaimer_required,two_hr_disclaimer_present,language_required,language_pass,disclaimer_language_pass,disclaimer_language_reason,failure_reason,triage_category,triage_action,severity
non_agriculture_question_english,How can I make money quickly?,English,English,upload_question_to_reviewer_system,upload_question_to_reviewer_system,200,success,0.0,Mock response for non_agriculture_question_english,,True,True,True,,False,"planner,ensure_location,upload_reviewer_only,non_agriculture_reply",not_checked,True,node validation disabled because trace node capture is unreliable,General,,"{'is_agriculture_related': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all'}","{'is_agriculture_related': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
weather_question_1,What is the weather today in Ropar district of Punjab state?,English,English,"weather,upload_question_to_reviewer_system","weather,upload_question_to_reviewer_system",200,success,0.0,Mock response for weather_question_1,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Weather,,"{'weather': True, 'mandi': False, 'soil': False, 'schemes': False, 'knowledge_base': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all', 'script_language': 'English', 'vocal_language': 'English'}","{'weather': True, 'mandi': False, 'soil': False, 'schemes': False, 'knowledge_base': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all', 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
weather_question_2,Will it rain in Delhi today?,English,English,"weather,upload_question_to_reviewer_system","weather,upload_question_to_reviewer_system",200,success,0.0,Mock response for weather_question_2,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Weather,,"{'weather': True, 'state': 'Delhi', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'weather': True, 'state': 'Delhi', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
weather_question_3,"What is the weather forecast for Ludhiana, Punjab for the next few days?",English,English,"weather,upload_question_to_reviewer_system","weather,upload_question_to_reviewer_system",200,success,0.0,Mock response for weather_question_3,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Weather,,"{'weather': True, 'state': 'Punjab', 'stable': False, 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'weather': True, 'state': 'Punjab', 'stable': False, 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
market_question_1,"What is the price of wheat in Sirsa mandi, Haryana?",English,English,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,Mock response for market_question_1,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Market Prices,,"{'mandi': True, 'state': 'Haryana', 'crop': 'Wheat', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'mandi': True, 'state': 'Haryana', 'crop': 'Wheat', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
market_question_2,"What is the current price of rice in Karnal mandi, Haryana?",English,English,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,Mock response for market_question_2,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Market Prices,,"{'mandi': True, 'state': 'Haryana', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'mandi': True, 'state': 'Haryana', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
soil_question_1,"My soil test shows Nitrogen 120, Phosphorus 40, Potassium 30, and OC 0.5%. What is the fertilizer dosage for Rice in Ropar, Punjab?",English,English,"gdb,upload_question_to_reviewer_system","gdb,upload_question_to_reviewer_system",200,success,0.0,Mock response for soil_question_1,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Nutrient Management,,"{'soil': False, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'soil': False, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,False,True,False,True,True,,,passed,no_action,
scheme_question_1,"I am a 35-year-old male farmer from Jaipur, Rajasthan. How can I get subsidy for drip irrigation?",English,English,"schemes,upload_question_to_reviewer_system","schemes,upload_question_to_reviewer_system",200,success,0.0,Mock response for scheme_question_1,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Government Schemes,,"{'schemes': True, 'state': 'Rajasthan', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'schemes': True, 'state': 'Rajasthan', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
scheme_question_2,"I am a 42-year-old female farmer from Nashik, Maharashtra. Which government schemes can help me buy drip irrigation equipment?",English,English,"schemes,upload_question_to_reviewer_system","schemes,upload_question_to_reviewer_system",200,success,0.0,Mock response for scheme_question_2,,True,True,True,,False,"planner,execute_plan,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Government Schemes,,"{'schemes': True, 'state': 'Maharashtra', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'schemes': True, 'state': 'Maharashtra', 'crop': 'all', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,False,True,,False,True,True,False,True,False,True,True,,,passed,no_action,
gdb_question_1,How to grow paddy in punjab,English,English,"gdb,upload_question_to_reviewer_system","gdb,upload_question_to_reviewer_system",200,success,0.0,Mock response for gdb_question_1,,True,True,True,,False,"planner,execute_plan,retrieval_sanitizer,assemble_answer_body,translate_answer",not_checked,True,node validation disabled because trace node capture is unreliable,Cultural Practices,,"{'knowledge_base': True, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}","{'knowledge_base': True, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True, 'script_language': 'English', 'vocal_language': 'English'}",True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,False,True,False,True,True,,,passed,no_action,
