language,domain,total_cases,answer_language_pass_rate,disclaimer_language_pass_rate,language_switching_pass_rate,gdb_entry_pass_rate,term_translation_pass_rate,overall_pass_rate
English,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
English,market,6,100.0,100.0,100.0,100.0,100.0,100.0
English,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
English,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
English,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
English,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,market,6,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
Hindi,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,market,6,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
Kannada,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,market,6,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
Punjabi,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,market,6,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
Tamil,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,gdb,2,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,market,6,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,pest,6,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,scheme,4,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,soil,6,100.0,100.0,100.0,100.0,100.0,100.0
Telugu,weather,6,100.0,100.0,100.0,100.0,100.0,100.0
