name,query,expected_tools,observed_tools,http_status,graph_status,latency_seconds,response_text,observed_gdb_entry_id,error,technical_pass,routing_pass,tool_pass,trace_url,trace_available,expected_nodes,observed_nodes,node_pass,node_reason,expected_domain,observed_domain,expected_plan,observed_plan,plan_pass,plan_reason,answer_quality_enabled,answerrelevancymetric_score,answerrelevancymetric_passed,answerrelevancymetric_reason,source_check_required,source_attribution_pass,source_attribution_reason,disclaimer_required,testing_disclaimer_present,testing_disclaimer_at_bottom,two_hr_disclaimer_required,two_hr_disclaimer_present,language_required,language_pass,disclaimer_language_pass,disclaimer_language_reason,language_code,language,expected_script,domain,scenario_id,answer_language_pass,language_switching_pass,gdb_entry_pass,term_translation_pass,language_quality_pass,language_quality_reason,failure_reason,triage_category,triage_action,severity
weather_rain_ludhiana_en,Will it rain in Ludhiana today?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"Will it rain in Ludhiana today?
expert: This is a mock answer for evaluation.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_rain_ludhiana_hi,क्या आज लुधियाना में बारिश होगी?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"क्या आज लुधियाना में बारिश होगी?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_rain_ludhiana_kn,ಇಂದು ಲುಧಿಯಾನಾದಲ್ಲಿ ಮಳೆ ಬರುತ್ತದೆಯೇ?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"ಇಂದು ಲುಧಿಯಾನಾದಲ್ಲಿ ಮಳೆ ಬರುತ್ತದೆಯೇ?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_rain_ludhiana_ta,இன்று லூதியானாவில் மழை பெய்யுமா?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"இன்று லூதியானாவில் மழை பெய்யுமா?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_rain_ludhiana_pa,ਕੀ ਅੱਜ ਲੁਧਿਆਣਾ ਵਿੱਚ ਮੀਂਹ ਪਵੇਗਾ?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"ਕੀ ਅੱਜ ਲੁਧਿਆਣਾ ਵਿੱਚ ਮੀਂਹ ਪਵੇਗਾ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_rain_ludhiana_te,ఈ రోజు లుధియానాలో వర్షం పడుతుందా?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"ఈ రోజు లుధియానాలో వర్షం పడుతుందా?
నిపుణుడు: ఇది మూల్యాంకనం కోసం నమూనా సమాధానం.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,te,Telugu,Telugu,weather,weather_rain_ludhiana,True,True,True,True,True,,,passed,no_action,
weather_forecast_delhi_en,What is the weather forecast for Delhi for the next few days?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"What is the weather forecast for Delhi for the next few days?
expert: This is a mock answer for evaluation.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
weather_forecast_delhi_hi,अगले कुछ दिनों के लिए दिल्ली का मौसम पूर्वानुमान क्या है?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"अगले कुछ दिनों के लिए दिल्ली का मौसम पूर्वानुमान क्या है?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
weather_forecast_delhi_kn,ಮುಂದಿನ ಕೆಲವು ದಿನಗಳಿಗೆ ದೆಹಲಿಯ ಹವಾಮಾನ ಮುನ್ಸೂಚನೆ ಏನು?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"ಮುಂದಿನ ಕೆಲವು ದಿನಗಳಿಗೆ ದೆಹಲಿಯ ಹವಾಮಾನ ಮುನ್ಸೂಚನೆ ಏನು?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
weather_forecast_delhi_ta,அடுத்த சில நாட்களுக்கு டெல்லியின் வானிலை முன்னறிவிப்பு என்ன?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"அடுத்த சில நாட்களுக்கு டெல்லியின் வானிலை முன்னறிவிப்பு என்ன?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
