name,query,expected_tools,observed_tools,http_status,graph_status,latency_seconds,response_text,error,technical_pass,routing_pass,tool_pass,executed_nodes,executed_tools,executed_mcp_services,trace_errors,failure_reason,triage_category,triage_action,severity
weather_question_1,What is the weather today in Ropar district of Punjab state?,weather,"weather,upload_question_to_reviewer_system",200,success,87.52,"{""messages"":[{""content"":""What is the weather today in Ropar district of Punjab state?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""10e652cc-e9ce-47f1-abb8-a3d6c73add7f""},{""content"":[{""id"":""toolu_01U7ruXnZmaod9YWsa2FbwGd"",""caller"":{""type"":""direct""},""input"":{""question"":""What is the weather today in Ropar district of Punjab state?"",""state_name"":""Punjab"",""crop"":""all"",""details"":{""state"":""Punjab"",""district"":""Ropar"",""crop"":""all"",""season"":""current"",""domain"":""Weather""}}",,True,True,True,,"upload_question_to_reviewer_system,weather","reviewer,weather",,,passed,no_action,
weather_question_2,Will it rain in Delhi today?,weather,"weather,location_information_tool",200,success,152.55,"{""messages"":[{""content"":""Will it rain in Delhi today?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""7c713f3a-67c9-4217-8219-f0e96538c7cc""},{""content"":[{""id"":""toolu_01MHNRGNufNi6Jd6vBhQovHm"",""caller"":{""type"":""direct""},""input"":{""latitude"":28.6139,""longitude"":77.209},""name"":""location_information_tool"",""type"":""tool_use""}],""additional_kwargs"":{},""response_metadata"":{""id"":""msg_01RB552roQxxaVPy1yMpHr3T"",""container"":null,""model"":""claude-sonnet-4-5-20250929"",""stop_detail",,False,True,True,,"location_information_tool,weather","location,weather",,technical_validation_failed,needs_review,manual_triage_required,low
weather_question_3,"What is the weather forecast for Ludhiana, Punjab for the next few days?",weather,"upload_question_to_reviewer_system,weather,location_information_tool",200,success,329.62,"{""messages"":[{""content"":""What is the weather forecast for Ludhiana, Punjab for the next few days?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""330a1ad2-fca7-4b29-837d-a8b7bd138597""},{""content"":[{""id"":""toolu_018GvdWBtLXhGZyjL7e8Kbic"",""caller"":{""type"":""direct""},""input"":{""latitude"":30.901,""longitude"":75.8573},""name"":""location_information_tool"",""type"":""tool_use""}],""additional_kwargs"":{},""response_metadata"":{""id"":""msg_0167UY5EQqaEAvkbbnkQ5kXo"",""container"":null,""mode",,False,True,True,,"location_information_tool,upload_question_to_reviewer_system,weather","location,reviewer,weather",,technical_validation_failed,needs_review,manual_triage_required,low
market_question_1,"What is the price of wheat in Sirsa mandi, Haryana?",market,"upload_question_to_reviewer_system,market",200,success,50.11,"{""messages"":[{""content"":""What is the price of wheat in Sirsa mandi, Haryana?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""f3e77ef6-9621-4fd5-9cd0-17a658201284""},{""content"":[{""text"":""I'll help you find the wheat price in Sirsa mandi, Haryana. Let me first upload your question to our review system and then check the current market prices."",""type"":""text""},{""id"":""toolu_01GvAGYJyYhqPFtQKPb5QbXD"",""caller"":{""type"":""direct""},""input"":{""question"":""What is the price of wh",,True,True,True,,"market,upload_question_to_reviewer_system","market,reviewer",,,passed,no_action,
market_question_2,"What is the current price of rice in Karnal mandi, Haryana?",market,"upload_question_to_reviewer_system,market",200,success,52.9,"{""messages"":[{""content"":""What is the current price of rice in Karnal mandi, Haryana?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""9f4c5fe0-7c57-4976-b3a0-2bb2f38b7cc0""},{""content"":[{""text"":""I'll help you find the current rice price in Karnal mandi, Haryana."",""type"":""text""},{""id"":""toolu_01U2zJP8ha3n6i2KWDtiNF6Q"",""caller"":{""type"":""direct""},""input"":{""question"":""What is the current price of rice in Karnal mandi, Haryana?"",""state_name"":""Haryana"",""crop"":""Rice"",""detai",,True,True,True,,"market,upload_question_to_reviewer_system","market,reviewer",,,passed,no_action,
soil_question_1,"My soil test shows Nitrogen 120, Phosphorus 40, Potassium 30, and OC 0.5%. What is the fertilizer dosage for Rice in Ropar, Punjab?",soil,"upload_question_to_reviewer_system,soil",200,success,42.68,"{""messages"":[{""content"":""My soil test shows Nitrogen 120, Phosphorus 40, Potassium 30, and OC 0.5%. What is the fertilizer dosage for Rice in Ropar, Punjab?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""edfb167d-4b3f-41b7-a9a6-a976d8b9f001""},{""content"":[{""text"":""I'll help you with the fertilizer dosage recommendation for Rice in Ropar, Punjab based on your soil test results."",""type"":""text""},{""id"":""toolu_019mgroNPXeRBrxhbx4tRduU"",""caller"":{""type"":""direct""},""input",,True,True,True,,"soil,upload_question_to_reviewer_system","reviewer,soil",,,passed,no_action,
scheme_question_1,"I am a 35-year-old male farmer from Jaipur, Rajasthan. How can I get subsidy for drip irrigation?",schemes,"schemes,upload_question_to_reviewer_system",200,success,76.06,"{""messages"":[{""content"":""I am a 35-year-old male farmer from Jaipur, Rajasthan. How can I get subsidy for drip irrigation?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""45550b15-fed5-41f5-95b4-a67a12639d82""},{""content"":[{""id"":""toolu_01M5fMuUZFBk4Lnb54jwYmUz"",""caller"":{""type"":""direct""},""input"":{""question"":""How can I get subsidy for drip irrigation?"",""state_name"":""Rajasthan"",""crop"":""all"",""details"":{""state"":""Rajasthan"",""district"":""Jaipur"",""crop"":""all"",""season"":""all",,True,True,True,,"schemes,upload_question_to_reviewer_system","reviewer,schemes",,,passed,no_action,
scheme_question_2,"I am a 42-year-old female farmer from Nashik, Maharashtra. Which government schemes can help me buy drip irrigation equipment?",schemes,"schemes,upload_question_to_reviewer_system",200,error,252.09,"{""messages"":[{""content"":""I am a 42-year-old female farmer from Nashik, Maharashtra. Which government schemes can help me buy drip irrigation equipment?"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""a5fb0515-cdb4-4885-b87e-f078992735f8""},{""content"":[{""id"":""toolu_01MGC27VCFvnZiEVRRUPD1P4"",""caller"":{""type"":""direct""},""input"":{""question"":""Which government schemes can help me buy drip irrigation equipment?"",""state_name"":""Maharashtra"",""crop"":""all"",""details"":{""state"":""M",ReadTimeout('timed out'),False,not_evaluated,not_evaluated,,"schemes,upload_question_to_reviewer_system","reviewer,schemes",ReadTimeout('timed out'),graph_execution_failed,runtime_issue,inspect_graph_logs,high
gdb_question_1,How to grow paddy in punjab,"gdb,upload_question","gdb,upload_question_to_reviewer_system",200,error,23.13,"{""messages"":[{""content"":""How to grow paddy in punjab"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""83302758-618e-4b97-bba0-761ac136bd91""},{""content"":[{""text"":""I'll help you with information about growing paddy in Punjab. Let me first upload your question to our expert team and then gather the relevant information for you."",""type"":""text""},{""id"":""toolu_01MFmRH8hLBT6RagSguhJA35"",""caller"":{""type"":""direct""},""input"":{""question"":""How to grow paddy in punjab"",""state_nam","{""error"":""ToolException"",""message"":""ToolException: execution failed""}",False,not_evaluated,not_evaluated,,"gdb,upload_question_to_reviewer_system",reviewer,"{""error"":""ToolException"",""message"":""ToolException: execution failed""}",graph_execution_failed,runtime_issue,inspect_graph_logs,high
greeting_question,Namaste Ajrasakha!,,,200,success,9.67,"{""messages"":[{""content"":""Namaste Ajrasakha!"",""additional_kwargs"":{},""response_metadata"":{},""type"":""human"",""name"":null,""id"":""0cdfdfd4-129a-4f25-a202-5b6bfd5179c1""},{""content"":""Namaste! 🙏\n\nAapka swagat hai! Main AjraSakha hoon, aur main aapki kheti-kisani se judi har samasya mein madad karne ke liye yahan hoon.\n\nAap mujhse kuch bhi pooch sakte hain jaise:\n🌾 Fasal ki kheti, bimari aur keet prabandhan\n🌦️ Mausam ki jankari aur varsha ki bhavishyavani\n💰 Mandi ke bhav aur mool\n🧪 Mitti ki sehat ",,True,True,True,,,,,,passed,no_action,
