"KVK ID","KVK Name","KVK Address","State Name","State LGD Code","District Name","District Name New","District LGD Code","Web Address","Landline Number","Fax Number","Email ID","Pin Code","ATARI Name","Host Institute","Latitude","Longitude"
"K0001","South West Delhi","Krishi Vigyan Kendra, Ujwa, Delhi","Delhi","=""7""","South West delhi","South West","84","http://www.kvkdelhi.org","9667971155","1128525129","kvkujwa@yahoo.com","110073","ICAR-ATARI  Zone-II Jodhpur","National Horticultural Research & Development Foundation , Bagwani Bhawan, Plot No. 47, Institutional Area, Pankha Road, Janakpuri, New Delhi-110058","28.569516","76.896282"
"K0002","Ambala","Krishi Vigyan Kendra, Ambala,Vill. Tepla, Post- Saha Distt. Ambala- (Hry.)","Haryana","=""6""","Ambala","Ambala","58","http://www.kvkambala.org.in/","0171-2822522","0171-2822522","kvkambala@gmail.com","133104","ICAR-ATARI  Zone-II Jodhpur","Society for Creation of Heaven on Earth , Society for Creation of Heaven on Earth, RK Khanna Tennios Stadium, 2nd Floor, R.No. 1&2 Africa Avcenue,k New Delhi 110 029","30.305424","76.929539"
"K0003","Gurgaon","Krishi Vigyan Kendra, IARI, Shikohpur,Distt. Gurgaon","Haryana","=""6""","Gurgaon","Gurugram","62","http://www.iari.res.in/","NA","NA","head_kvkggn@iari.res.in","122004","ICAR-ATARI  Zone-II Jodhpur","IARI , Pusa, New Delhi","28.371721","76.988927"
"K0004","Bhiwani","KRISHI VIGYAN KENDRA,NEAR BHIM STADIUM,BHIWANI","Haryana","=""6""","Bhiwani","Bhiwani","59","NA","011664-242633","01664-242633","sckvkbhiwani@gmail.com","127021","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.812617","76.131568"
"K0005","Faridabad","KRISHI VIGYAN KENDRA, BHOPANI, FARIDABAD (HARYANA)  ","Haryana","=""6""","Faridabad","Faridabad","60","http://hau.ernet.in/kvk","0129-2202332","NA","kvkfaridabad@gmail.com","121002","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.415541","77.390586"
"K0006","Fatehabad","KVK, Fatehabad","Haryana","=""6""","Fatehabad","Fatehabad","61","NA","NA","NA","kvkfatehabadsc@gmail.com","125050","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.529059","75.50177"
"K0007","Hisar","KRISHI VIGYAN KENDRA -HISAR (Village: sadalpur, Tehsil: Mandi Adampur, Distt Hisar, Haryana Pin 125052)","Haryana","=""6""","Hisar","Hisar","63","https://hau.ac.in/college/krishi-vigyan-kendra-sadalpur-hisar","01669-244931","NA","kvkhisar@gmail.com","125052","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.32654","75.449767"
"K0008","Jhajjar","KRISHI VIGYAN KENDRA, JHAJJAR  ","Haryana","=""6""","Jhajjar","Jhajjar","64","NA","NA","NA","sckvkjhajjar720@gmail.com","124103","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.588682","76.6868"
"K0009","Jind","KRISHI VIGYAN KENDRA, PANDU PINDARA JIND (HARYANA)","Haryana","=""6""","Jind","Jind","65","NA","01681-245940","01681-245940","sckvkjind@gmail.com","126102","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.308108","76.364247"
"K0010","Kaithal"," KRISHI VIGYAN KENDRA, KAITHAL, PEODAH ROAD, KAITHAL","Haryana","=""6""","Kaithal","Kaithal","66","www.hau.ac.in","NA","NA","sckvkkaithal@gmail.com","136027","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.7663","76.4098"
"K0011","Kurukshetra","KRISHI VIGYAN KENDRA, SECTOR-13, URBAN ESTATE, NEAR RAILWAY STATION, KURUKSHETRA","Haryana","=""6""","Kurukshetra","Kurukshetra","68","https://www.hau.ac.in/college/krishi-vigyan-kendra-kurukshetra","01744-220418","NA","sckvkkurukshetra2@gmail.com","136118","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.964427","76.875516"
"K0012","Mahendragarh"," KRISHI VIGYAN KENDRA MAHENDRAGARH  ","Haryana","=""6""","Mahendragarh","Mahendragarh","69","NA","01285-220293","NA","sckvkmgarh@gmail.com","123029","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.271882","76.156822"
"K0013","Panipat","KRISHI VIGYAN KENDRA PANIPAT   ","Haryana","=""6""","Panipat","Panipat","71","NA","NA","NA","sckvkpanipat01@gmail.com","132104","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.363616","77.019006"
