scenario_id|domain_group|language_code|language_name|query_en|query_native|review_status|reviewed_by|review_date|notes
S01|soil|HI|Hindi|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|KN|Kannada|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|TA|Tamil|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|PA|Punjabi|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|TE|Telugu|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|AS|Assamese|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|BN|Bengali|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|BRX|Bodo|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|DOI|Dogri|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|GU|Gujarati|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|KS|Kashmiri|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|KOK|Konkani|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|MAI|Maithili|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|ML|Malayalam|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|MNI|Manipuri (Meitei)|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|MR|Marathi|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|NE|Nepali|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|OR|Odia|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|SA|Sanskrit|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|SAT|Santali|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|SD|Sindhi|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S01|soil|UR|Urdu|How do I grow paddy in Punjab? What are the main cultivation steps?||draft_pending_agri_validation|||
S02|pest|HI|Hindi|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|KN|Kannada|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|TA|Tamil|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|PA|Punjabi|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|TE|Telugu|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|AS|Assamese|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|BN|Bengali|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|BRX|Bodo|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|DOI|Dogri|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|GU|Gujarati|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|KS|Kashmiri|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|KOK|Konkani|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|MAI|Maithili|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|ML|Malayalam|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|MNI|Manipuri (Meitei)|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|MR|Marathi|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|NE|Nepali|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|OR|Odia|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|SA|Sanskrit|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|SAT|Santali|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|SD|Sindhi|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S02|pest|UR|Urdu|How do I treat yellow rust disease in wheat in Haryana?||draft_pending_agri_validation|||
S03|soil|HI|Hindi|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|KN|Kannada|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|TA|Tamil|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|PA|Punjabi|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|TE|Telugu|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|AS|Assamese|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|BN|Bengali|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|BRX|Bodo|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|DOI|Dogri|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|GU|Gujarati|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|KS|Kashmiri|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|KOK|Konkani|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|MAI|Maithili|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|ML|Malayalam|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|MNI|Manipuri (Meitei)|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|MR|Marathi|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|NE|Nepali|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|OR|Odia|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|SA|Sanskrit|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|SAT|Santali|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|SD|Sindhi|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S03|soil|UR|Urdu|What is the recommended fertilizer dose for rice in Andhra Pradesh?||draft_pending_agri_validation|||
S04|market|HI|Hindi|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|KN|Kannada|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|TA|Tamil|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|PA|Punjabi|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|TE|Telugu|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|AS|Assamese|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|BN|Bengali|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|BRX|Bodo|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|DOI|Dogri|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|GU|Gujarati|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|KS|Kashmiri|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|KOK|Konkani|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|MAI|Maithili|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|ML|Malayalam|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|MNI|Manipuri (Meitei)|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|MR|Marathi|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|NE|Nepali|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|OR|Odia|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|SA|Sanskrit|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|SAT|Santali|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|SD|Sindhi|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S04|market|UR|Urdu|Which cotton varieties are best suited for Maharashtra?||draft_pending_agri_validation|||
S05|soil|HI|Hindi|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|KN|Kannada|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|TA|Tamil|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|PA|Punjabi|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|TE|Telugu|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|AS|Assamese|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|BN|Bengali|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|BRX|Bodo|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|DOI|Dogri|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|GU|Gujarati|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|KS|Kashmiri|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|KOK|Konkani|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|MAI|Maithili|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|ML|Malayalam|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|MNI|Manipuri (Meitei)|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|MR|Marathi|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|NE|Nepali|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|OR|Odia|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|SA|Sanskrit|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|SAT|Santali|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|SD|Sindhi|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S05|soil|UR|Urdu|What is the irrigation schedule for sugarcane in Tamil Nadu?||draft_pending_agri_validation|||
S06|pest|HI|Hindi|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|KN|Kannada|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|TA|Tamil|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|PA|Punjabi|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|TE|Telugu|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|AS|Assamese|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|BN|Bengali|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|BRX|Bodo|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|DOI|Dogri|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|GU|Gujarati|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|KS|Kashmiri|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|KOK|Konkani|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|MAI|Maithili|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|ML|Malayalam|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|MNI|Manipuri (Meitei)|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|MR|Marathi|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|NE|Nepali|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|OR|Odia|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|SA|Sanskrit|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|SAT|Santali|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|SD|Sindhi|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S06|pest|UR|Urdu|How to grow tomatoes using organic methods in Karnataka?||draft_pending_agri_validation|||
S07|market|HI|Hindi|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|KN|Kannada|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|TA|Tamil|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|PA|Punjabi|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|TE|Telugu|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|AS|Assamese|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|BN|Bengali|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|BRX|Bodo|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|DOI|Dogri|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|GU|Gujarati|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|KS|Kashmiri|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|KOK|Konkani|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|MAI|Maithili|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|ML|Malayalam|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|MNI|Manipuri (Meitei)|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|MR|Marathi|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|NE|Nepali|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|OR|Odia|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|SA|Sanskrit|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|SAT|Santali|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|SD|Sindhi|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S07|market|UR|Urdu|What is the seed treatment procedure for mustard in Rajasthan?||draft_pending_agri_validation|||
S08|market|HI|Hindi|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|KN|Kannada|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|TA|Tamil|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|PA|Punjabi|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|TE|Telugu|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|AS|Assamese|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|BN|Bengali|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|BRX|Bodo|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|DOI|Dogri|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|GU|Gujarati|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|KS|Kashmiri|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|KOK|Konkani|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|MAI|Maithili|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|ML|Malayalam|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|MNI|Manipuri (Meitei)|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|MR|Marathi|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|NE|Nepali|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|OR|Odia|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
S08|market|SA|Sanskrit|How do I store mangoes after harvest to keep them fresh longer?||draft_pending_agri_validation|||
