name,query,expected_tools,observed_tools,http_status,graph_status,latency_seconds,response_text,error,technical_pass,routing_pass,tool_pass,executed_nodes,executed_tools,executed_mcp_services,trace_errors,expected_nodes,observed_nodes,node_pass,node_reason,expected_domain,observed_domain,expected_plan,observed_plan,plan_pass,plan_reason,answerrelevancymetric_score,answerrelevancymetric_passed,answerrelevancymetric_reason,faithfulnessmetric_score,faithfulnessmetric_passed,faithfulnessmetric_reason,contextualrelevancymetric_score,contextualrelevancymetric_passed,contextualrelevancymetric_reason,failure_reason,triage_category,triage_action,severity
weather_question_1,What is the weather today in Ropar district of Punjab state?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,Mock response for weather_question_1,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,weather","mcp-upload_question_to_reviewer_system,mcp-weather",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Weather,,"{'weather': True, 'mandi': False, 'soil': False, 'schemes': False, 'knowledge_base': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all'}","{'weather': True, 'mandi': False, 'soil': False, 'schemes': False, 'knowledge_base': False, 'is_complete': True, 'state': 'Punjab', 'crop': 'all'}",True,,,False,RetryError[<Future at 0x1e7e51f1210 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e521f550 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5253690 state=finished raised APIConnectionError>],,passed,no_action,
weather_question_2,Will it rain in Delhi today?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,Mock response for weather_question_2,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,weather","mcp-upload_question_to_reviewer_system,mcp-weather",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Weather,,"{'weather': True, 'state': 'Delhi', 'crop': 'all', 'is_complete': True}","{'weather': True, 'state': 'Delhi', 'crop': 'all', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e5286710 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e51f1d10 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5245090 state=finished raised APIConnectionError>],,passed,no_action,
weather_question_3,"What is the weather forecast for Ludhiana, Punjab for the next few days?","upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,Mock response for weather_question_3,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,weather","mcp-upload_question_to_reviewer_system,mcp-weather",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Weather,,"{'weather': True, 'state': 'Punjab', 'crop': 'all', 'is_complete': True}","{'weather': True, 'state': 'Punjab', 'crop': 'all', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e52477d0 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52bd8d0 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52c2590 state=finished raised APIConnectionError>],,passed,no_action,
market_question_1,"What is the price of wheat in Sirsa mandi, Haryana?","upload_question_to_reviewer_system,market","upload_question_to_reviewer_system,market",200,success,0.0,Mock response for market_question_1,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,market","mcp-upload_question_to_reviewer_system,mcp-market",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Market Prices,,"{'mandi': True, 'state': 'Haryana', 'crop': 'Wheat', 'is_complete': True}","{'mandi': True, 'state': 'Haryana', 'crop': 'Wheat', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e52b2f10 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52df010 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52cf850 state=finished raised APIConnectionError>],,passed,no_action,
market_question_2,"What is the current price of rice in Karnal mandi, Haryana?","upload_question_to_reviewer_system,market","upload_question_to_reviewer_system,market",200,success,0.0,Mock response for market_question_2,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,market","mcp-upload_question_to_reviewer_system,mcp-market",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Market Prices,,"{'mandi': True, 'state': 'Haryana', 'crop': 'Rice', 'is_complete': True}","{'mandi': True, 'state': 'Haryana', 'crop': 'Rice', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e52f2410 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e531edd0 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e51ff010 state=finished raised APIConnectionError>],,passed,no_action,
soil_question_1,"My soil test shows Nitrogen 120, Phosphorus 40, Potassium 30, and OC 0.5%. What is the fertilizer dosage for Rice in Ropar, Punjab?","upload_question_to_reviewer_system,soil","upload_question_to_reviewer_system,soil",200,success,0.0,Mock response for soil_question_1,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,soil","mcp-upload_question_to_reviewer_system,mcp-soil",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Soil Health Card,,"{'soil': True, 'state': 'Punjab', 'crop': 'Rice', 'is_complete': True}","{'soil': True, 'state': 'Punjab', 'crop': 'Rice', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e53330d0 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e535b250 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e531cd90 state=finished raised APIConnectionError>],,passed,no_action,
scheme_question_1,"I am a 35-year-old male farmer from Jaipur, Rajasthan. How can I get subsidy for drip irrigation?","upload_question_to_reviewer_system,schemes","upload_question_to_reviewer_system,schemes",200,success,0.0,Mock response for scheme_question_1,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,schemes","mcp-upload_question_to_reviewer_system,mcp-schemes",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Government Schemes,,"{'schemes': True, 'state': 'Rajasthan', 'crop': 'all', 'is_complete': True}","{'schemes': True, 'state': 'Rajasthan', 'crop': 'all', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e533b7d0 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5318310 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5342610 state=finished raised APIConnectionError>],,passed,no_action,
scheme_question_2,"I am a 42-year-old female farmer from Nashik, Maharashtra. Which government schemes can help me buy drip irrigation equipment?","upload_question_to_reviewer_system,schemes","upload_question_to_reviewer_system,schemes",200,success,0.0,Mock response for scheme_question_2,,True,True,True,"planner,execute_plan,synthesize","upload_question_to_reviewer_system,schemes","mcp-upload_question_to_reviewer_system,mcp-schemes",,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,Government Schemes,,"{'schemes': True, 'state': 'Maharashtra', 'crop': 'all', 'is_complete': True}","{'schemes': True, 'state': 'Maharashtra', 'crop': 'all', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e5245810 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5301090 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e53767d0 state=finished raised APIConnectionError>],,passed,no_action,
gdb_question_1,How to grow paddy in punjab,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,Mock response for gdb_question_1,,True,True,True,"planner,execute_plan,retrieval_sanitizer,synthesize","upload_question_to_reviewer_system,gdb","mcp-upload_question_to_reviewer_system,mcp-gdb",,"planner,execute_plan,retrieval_sanitizer,synthesize","planner,execute_plan,retrieval_sanitizer,synthesize",True,,Cultural Practices,,"{'knowledge_base': True, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True}","{'knowledge_base': True, 'state': 'Punjab', 'crop': 'Paddy', 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e5374450 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5343650 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52cd490 state=finished raised APIConnectionError>],,passed,no_action,
greeting_question,Namaste Ajrasakha!,upload_question_to_reviewer_system,upload_question_to_reviewer_system,200,success,0.0,Mock response for greeting_question,,True,True,True,"planner,execute_plan,synthesize",upload_question_to_reviewer_system,mcp-upload_question_to_reviewer_system,,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,General,,"{'knowledge_base': False, 'is_complete': True}","{'knowledge_base': False, 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e5286510 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52c2d90 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52074d0 state=finished raised APIConnectionError>],,passed,no_action,
no_tool_greeting_2,"Hello, who are you?",upload_question_to_reviewer_system,upload_question_to_reviewer_system,200,success,0.0,Mock response for no_tool_greeting_2,,True,True,True,"planner,execute_plan,synthesize",upload_question_to_reviewer_system,mcp-upload_question_to_reviewer_system,,"planner,execute_plan,synthesize","planner,execute_plan,synthesize",True,,General,,"{'knowledge_base': False, 'is_complete': True}","{'knowledge_base': False, 'is_complete': True}",True,,,False,RetryError[<Future at 0x1e7e5339850 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e52d6550 state=finished raised APIConnectionError>],,False,RetryError[<Future at 0x1e7e5359c90 state=finished raised APIConnectionError>],,passed,no_action,
