case_id,scenario_id,language_code,domain,query,expected_vocal,expected_script,stable,translation_review_status,translation_reviewer,status,http_status,graph_status,latency_seconds,error,routing_pass,plan_pass,plan_reason,language_pass,language_reason,testing_disclaimer_present,testing_disclaimer_at_bottom,two_hr_disclaimer_present,disclaimer_pass,disclaimer_reason,lang_switch_detected,lang_switch_reason,terminology_pass,terminology_reason,source_attribution_pass,source_attribution_reason,response_text
ML-S01-EN,S01,EN,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S01-EN] Domain: Cultural Practices. Query language: English. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are exp"
ML-S01-HI,S01,HI,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S01-HI] Domain: Cultural Practices. Query language: Hindi. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयो"
ML-S01-KN,S01,KN,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S01-KN] Domain: Cultural Practices. Query language: Kannada. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ "
ML-S01-TA,S01,TA,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S01-TA] Domain: Cultural Practices. Query language: Tamil. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே "
ML-S01-PA,S01,PA,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S01-PA] Domain: Cultural Practices. Query language: Punjabi. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤ"
ML-S01-TE,S01,TE,Cultural Practices,How do I grow paddy in Punjab? What are the main cultivation steps?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S01-TE] Domain: Cultural Practices. Query language: Telugu. [Mock agri content covers: paddy, cultivation, transplanting, nursery]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద"
ML-S02-EN,S02,EN,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S02-EN] Domain: Plant Protection. Query language: English. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and c"
ML-S02-HI,S02,HI,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S02-HI] Domain: Plant Protection. Query language: Hindi. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयोगात्मक हैं और व"
ML-S02-KN,S02,KN,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S02-KN] Domain: Plant Protection. Query language: Kannada. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ ಉದ್ದೇಶಿಸಲಾಗಿದೆ."
ML-S02-TA,S02,TA,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S02-TA] Domain: Plant Protection. Query language: Tamil. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே நோக்கப்பட்டுள்ள"
